keyword,category,New addition
Action anticipatoire,AA,
Action d’anticipation,AA,
Anticipatory,AA,
FbF,AA,
Forecast based,AA,
Forecast-based,AA,1
Riposte anticipative,AA,
Start Ready,AA,
Catastrophe ,CF,1
catastrophes,CF,
Cold wave,CF,
cold waves,CF,1
Conflict affected,CF,
Conflict prevention,CF,
Crisis,CF,
crises,CF,1
Cyclone,CF,
cyclones,CF,1
Disaster,CF,
disasters,CF,1
Drought,CF,
droughts,CF,1
Dzud ,CF,
Early warning,CF,
Earthquake,CF,
earthquakes,CF,1
Emergency assistance,CF,
Emergency cash,CF,
Emergency food,CF,
Emergency liquidity,CF,
Emergency recovery,CF,
Emergency response,CF,
Epidemic,CF,
epidemics,CF,1
Famine,CF,
famines,CF,1
Flood,CF,
floods,CF,1
Forced migration,CF,
Global Risk Assessment Framework ,CF,
Hazard,CF,
hazards,CF,1
Heat wave,CF,
heat waves,CF,1
Humanitarian,CF,
Hurricane,CF,
Hurricanes,CF,1
Hyogo Framework,CF,
Internal displacement,CF,
idp,CF,1
idps,CF,1
Landslide,CF,
landslides,CF,1
land slide,CF,1
land slides,CF,1
Loss and damage,CF,
Outbreak,CF,
Outbreaks,CF,1
Preparedness,CF,
Refugee,CF,
refugees,CF,1
Relief,CF,
Sendai Framework,CF,
Shock adaptive,CF,
Shock recovery,CF,
Shock responsive,CF,
Tropical storm,CF,
tropical storms,CF,1
Tsunami,CF,
Typhoon,CF,
Volcano,CF,
Volcanoes,CF,1
ADRiFi,PAF,
African Risk Capacity,PAF,
ARC premium,PAF,
ARC Replica,PAF,
Assurance climatique,PAF,
Assurance contre les catastrophes,PAF,
Assurance contre les desastres,PAF,
Assurance indicielle,PAF,
Assurance secheresse,PAF,
Cat DDO,PAF,
DDO,PAF,1
Catastrophe Deferred Drawdown Option,PAF,
Deferred Drawdown Option,PAF,1
Catastrophe insurance,PAF,
CCRIF,PAF,
Centre for Disaster Protection,PAF,
CERC,PAF,
Climate insurance,PAF,
Contingency plan,PAF,
Contingent credit,PAF,
contingency plans,PAF,1
contingent credits,PAF,1
Contingent Emergency Response Component,PAF,
Contingent financing,PAF,
Contingent loan,PAF,
Contingent loans,PAF,1
Crisis modifier,PAF,
Dedommagement,PAF,
Disaster financing,PAF,
Disaster finance,PAF,1
Disaster insurance,PAF,
Disaster Relief Emergency Fund,PAF,
Disaster resilience improvement program,PAF,
Disaster resilience program,PAF,
Disaster risk finance,PAF,
DREF,PAF,
DRF,PAF,
Drought insurance,PAF,
Early action,PAF,
Early-action,PAF,1
Early response,PAF,
Financement de la riposte aux desastres,PAF,
Financial preparedness,PAF,
GRiF,PAF,
Humanitarian insurance,PAF,
Index insurance,PAF,
InsuResilience,PAF,
Parametric,PAF,
Payout,PAF,
payouts,PAF,1
PCRIC,PAF,
Premium subsidies,PAF,
Premium subsidy,PAF,
Riposte aux choques,PAF,
Risk financing,PAF,
risk finance,PAF,1
Risk insurance,PAF,
Risk mapping,PAF,
Risk monitoring,PAF,
Risk pool,PAF,
Risk transfer,PAF,
risk pools,PAF,1
risk transfer,PAF,1
Risque de catastrophe,PAF,
Risques de catastrophe,PAF,
Science for Humanitarian Emergencies and Resilience,PAF,
SFERA,PAF,
SHEAR,PAF,
Subventions de prime d’assurance,PAF,
Transfert de risque,PAF,
